Age_range,Gender,Languages,Country,Nationality,Education,Major,Occupation,Devices,Internet_familiarity,Internet_quality,Desktop_familiarity,Laptop_familiarity,Phone_familiarity,Feature_phone_familiarity,Tablet_familiarity,Smartwatch_familiarity
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Fisheries,Unemployed,Desktop Computer / iMac / Mac mini,5.0,4.0,5.0,5.0,5.0,5.0,,
Millennials: Born 1981-1996,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Economics ,Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Civil Engineering,Unemployed,Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,,5.0
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Materials Science and Engineering,Unemployed,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Urban and Regional Planning,Private officer,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Electrical Engineering ,Government officer,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Water Resources Engineering,Private employee (not officer),Android / iPhone / Touchscreen phone,4.0,3.0,,3.0,5.0,,3.0,3.0
Millennials: Born 1981-1996,Male,Bengali;English,United States,Bangladeshi,University/Higher Degree,Mechanical Engineering,Student;Teacher,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,,5.0,5.0,3.0,,
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,N,Government officer;Private officer,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,3.0,5.0,,,,
Generation X: Born 1965-1980,Male,Bengali;English;Hindi,United Kingdom,British,University/Higher Degree,Computing ,IT Professional,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,3.0,,
Millennials: Born 1981-1996,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,EEE,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,,,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Agricultural Economics,Student,Android / iPhone / Touchscreen phone,4.0,2.0,,,5.0,3.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student;Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Female,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student,Laptop / Macbook,4.0,4.0,,,,,,
Generation Z: Born 1997-2012,Female,Bengali;English;Hindi,Bangladesh,Bangladeshi,Above College/Diploma/Equivalent Degree,Arts,Student,Android / iPhone / Touchscreen phone,4.0,4.0,,,,,,
Generation Z: Born 1997-2012,Female,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Arts,Student,Android / iPhone / Touchscreen phone,4.0,4.0,,,,,,
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,Above College/Diploma/Equivalent Degree,Arts,Student,Mobile phone ,3.0,3.0,,,5.0,,5.0,
Generation Z: Born 1997-2012,Female,Bengali,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Arts,Student,Android / iPhone / Touchscreen phone,4.0,4.0,,,,,,
Generation Z: Born 1997-2012,Female,Bengali;Hindi,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Social Science,Student,Android / iPhone / Touchscreen phone,4.0,3.0,,,,,,
Generation Alpha: Born after 2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Arts ,Student,Android / iPhone / Touchscreen phone,5.0,5.0,,,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,IT Professional,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,1.0,,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Student;IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,Above College/Diploma/Equivalent Degree,Computer Science,Student,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone;Feature phone (with physical keyboard having no touchscreen),5.0,5.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering ,Government officer,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,3.0,5.0,5.0,3.0,2.0,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,IT Professional,Desktop Computer / iMac / Mac mini;Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering,Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone;Smartwatch,5.0,5.0,5.0,5.0,,,3.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Electrical & Electronic Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,2.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science ,IT Professional,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Engineering ,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,,5.0,5.0,,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,CS,Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Generation Z: Born 1997-2012,Male,Bengali,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science,Private officer,Android / iPhone / Touchscreen phone,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Engineering,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone;Tablet / iPad,5.0,3.0,5.0,5.0,5.0,,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,EEE,IT Professional;Private employee (not officer),Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,
Millennials: Born 1981-1996,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Information and Communication Engineering ,Unemployed,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,5.0,,
Generation Z: Born 1997-2012,Female,English,Bangladesh,Bangladeshi,University/Higher Degree,Science,Student,Android / iPhone / Touchscreen phone,4.0,4.0,,,,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Mechanical Engineering,IT Professional,Desktop Computer / iMac / Mac mini;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,1.0,,2.0
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,CSE,IT Professional,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,3.0,5.0,5.0,5.0,5.0,5.0,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,University/Higher Degree,Computer Science and Engineering,Student;Teacher,Laptop / Macbook;Android / iPhone / Touchscreen phone,5.0,4.0,5.0,5.0,5.0,,3.0,1.0
Generation Z: Born 1997-2012,Male,Arabic;Bengali;English;Hindi,United Arab Emirates,Bangladeshi,College/HSC/A-level/Equivalent Degree,General science,Private employee (not officer);Car technician ,Android / iPhone / Touchscreen phone,5.0,5.0,,,5.0,5.0,,
Generation Z: Born 1997-2012,Male,Bengali;English;Hindi,Bangladesh,Bangladeshi,College/HSC/A-level/Equivalent Degree,Arts,Student,Laptop / Macbook;Android / iPhone / Touchscreen phone,4.0,3.0,,,,,,
Generation Z: Born 1997-2012,Male,Bengali;English,Bangladesh,Bangladeshi,University/Higher Degree,Computer science,IT Professional,Desktop Computer / iMac / Mac mini;Feature phone (with physical keyboard having no touchscreen),4.0,1.0,,,,,,
